"事業者名","カテゴリ","エリア","住所","電話番号","ウェブサイト","Instagram","Googleレビュー数","Google評価","個人/法人","DM優先度(1-5)","GoogleマップURL","DMメモ"
"メンズ眉毛サロン表参道店【THE BROW】(渋谷）","眉毛サロン メンズ","東京都渋谷区","日本、〒150-0041 東京都渋谷区神南１丁目２０−３ KSビル B1F 眉毛サロン","03-6277-5079","https://thebrow.jp/shibuya/","https://instagram.com/thebrow_tokyo","61","5","法人","5","https://maps.google.com/?cid=17252064073375601427","メンズ眉毛。レビュー61件"
"private salon reFreey","メンズ脱毛サロン","東京都渋谷区","日本、〒150-0045 東京都渋谷区神泉町１０−１５ Annex神泉 502号","090-7596-4475","https://refreey-salon.jp/?utm_source=GBP&utm_medium=GBP&utm_term=GBP&utm_content=GBP&utm_campaign=GBP","https://instagram.com/refreey_salon","43","4.9","個人","5","https://maps.google.com/?cid=2952791727473983945","メンズ脱毛43件Web/IG有"
"メンズ眉毛サロン 眉匠東京 渋谷店","眉毛サロン メンズ","東京都渋谷区","日本、〒150-0042 東京都渋谷区宇田川町３６−２ ア渋谷 611","090-5051-5063","https://beauty.hotpepper.jp/kr/slnH000794256/","","37","4.8","個人","5","https://maps.google.com/?cid=7878016849195402240","レビュー少なく個人運営の可能性"
"BY-FIT","パーソナルトレーナー","東京都渋谷区","日本、〒150-0002 東京都渋谷区渋谷１丁目８−１３ GSハイム宮益坂 9階 901号室","080-6346-3641","https://lit.link/kch01","https://instagram.com/by_fit_official","32","4.9","個人","5","https://maps.google.com/?cid=10876457654498706516","レビュー32件。Web/IG有"
"渋谷脱毛 nomo(ノモ) 渋谷店","メンズ脱毛サロン","東京都渋谷区","日本、〒150-0031 東京都渋谷区桜丘町３０−７ エミリールーダン 101","070-3970-6004","https://www.instagram.com/seiya_beauty.tokyo","https://instagram.com/rsrc.php","29","5","個人","5","https://maps.google.com/?cid=10756184279289502478","メンズ脱毛29件Web/IG有"
"メンズ眉毛サロンLINK","眉毛サロン メンズ","東京都渋谷区","日本、〒150-0002 東京都渋谷区渋谷１丁目１２−１２ 201","03-6450-5832","https://beauty.hotpepper.jp/kr/slnH000566837/","","21","4.8","個人","5","https://maps.google.com/?cid=15119848784263259536","レビュー21件で個人運営度高"
"恵比寿・渋谷 メンズ脱毛 エステサロン Sglanz","メンズ脱毛サロン","東京都渋谷区","日本、〒150-0011 東京都渋谷区東２丁目１８−２ ＳＧｌａｎｚ １F","03-6427-9986","https://sglanz.com/","","20","4.8","個人","5","https://maps.google.com/?cid=10181328977648308286","メンズ脱毛20件"
"わたしいろ","パーソナルカラー診断","東京都渋谷区","日本、〒151-0053 東京都渋谷区代々木１丁目４２−２ berry403","","https://my-site-101145-107284.square.site/","","11","5","個人","5","https://maps.google.com/?cid=14852434985651327595","パーソナルカラー診断11件"
"LION 東京渋谷店","メンズ脱毛サロン","東京都渋谷区","日本、〒150-0045 東京都渋谷区神泉町１７−１４ エスポワール渋谷松濤 ５０１号","050-6864-9532","https://mens-lion.jp/","https://instagram.com/mens_salon_lion","11","4.8","個人","5","https://maps.google.com/?cid=15236493910521963337","メンズ脱毛11件IG有"
"メンズ眉毛サロンラボ【渋谷店】","眉毛サロン メンズ","東京都渋谷区","日本、〒150-0031 東京都渋谷区桜丘町９−２０ ALLEY SHIBUYA201","","https://eyebrow-lab.com/salon/tokyo/shibuya-sakuragaoka.html","https://instagram.com/eyebrowlabo","9","4.7","個人","5","https://maps.google.com/?cid=14970257214663477373","レビュー9件で個人フリーランス確度高"
"PRUNUS -total beauty analysis-","パーソナルスタイリスト","東京都渋谷区","日本、〒151-0053 東京都渋谷区代々木２丁目１９−７ 405","080-3555-5543","https://prunus.tokyo/","","1","5","個人","5","https://maps.google.com/?cid=15541263827943953941","レビュー少・Webあり・スタイリング"
"ONE TO渋谷店 メンズ眉毛サロン【眉毛 渋谷/アイブロウ 渋谷/眉毛 メンズ 渋谷】","眉毛サロン メンズ","東京都渋谷区","日本、〒150-0011 東京都渋谷区東１丁目２６−３２ 拓新ビル 4F","070-8988-1002","https://beauty.hotpepper.jp/kr/slnH000701150/?cstt=2","","111","5","法人","4","https://maps.google.com/?cid=2587084886529560115","メンズ眉毛。レビュー111件"
